year,budget,revenue
1960,6.8069,67.4
1961,17.9,74.4568
1962,33.212,210.0752
1963,69.701,285.8432
1964,52.98,347.0145
1965,48.8,554.7565
1966,12.9778,59.35
1967,15.5,127.7923
1968,42.019,187.5545
1969,54.4441,314.3859
1970,102.8419,248.0168
1971,32.177,296.2418
1972,14.212,291.3827
1973,35.6158,959.5896
1974,31.085,386.1672
1975,26.7,654.4976
1976,54.9,298.3339
1977,133.51,1460.1589
1978,128,959.1948
1979,204.85,875.2722
1980,283.1,1290.9825
1981,372.4,1314.9286
1982,250,1838.1822
1983,345.952,1554.1576
1984,408.95,1753.7082
1985,351.7655,1457.4148
1986,336.2,1501.893
1987,375.9,1557.3312
1988,323.4,1633.2036
1989,560.26,2685.9893
1990,739.225,3863.7719
1991,723,2664.1075
1992,838.6255,3703.6573
1993,875.9,3856.9527
1994,1410.227,5919.7456
1995,2116.35,6083.354
1996,2837.0921,6773.4221
1997,3857.667,9549.3894
1998,3900.4403,8220.9527
1999,5006.4256,10310.802
2000,5453.2,10930.3307
2001,5554.0164,13210.5948
2002,5863.9462,14575.9241
2003,5333.9381,14146.1101
2004,6424.7977,15985.2464
2005,6348.5845,14873.8998
2006,6638.53,16332.5857
2007,5992.6475,16089.2548
2008,7154.9491,17929.0745
2009,7644.4668,20930.2928
2010,7761.4675,20258.2368
2011,7754.2274,20461.2454
2012,7263.7827,23774.4427
2013,8205.8808,23135.6299
2014,7368.4533,24047.2361
2015,6724.5474,22477.3419
2016,4753.14,14451.2269
